date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:34	633/633	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Apr%202026%2014:07:33%20GMT	https://ranti.co.id/robots.txt		(from )
22:07:35	429926/429926	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202026%2014:07:33%20GMT	https://ranti.co.id/	E:/cloning%20website/Muslimah/ranti.co.id/index.html	(from )
22:07:38	6200/6200	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202026%2014:07:36%20GMT	https://use.typekit.net/wwd6pco.css	E:/cloning%20website/Muslimah/use.typekit.net/wwd6pco.css	(from https://ranti.co.id/)
22:07:38	80360/80360	---M--	200	added ('OK')	image/jpeg	etag:%22e8b04cd57ada0dd4ac9626961984ab48%22	https://static.mineralcdn.net/site/ranticoid/og_image.jpg	E:/cloning%20website/Muslimah/static.mineralcdn.net/site/ranticoid/og_image.jpg	(from https://ranti.co.id/)
22:07:39	554/554	---M--	200	added ('OK')	image/png	etag:%2203d01fc4f4749da573c9fa9c95501021%22	https://static.mineralcdn.net/site/ranticoid/icon/new_2025/icon-16.png	E:/cloning%20website/Muslimah/static.mineralcdn.net/site/ranticoid/icon/new_2025/icon-16.png	(from https://ranti.co.id/)
22:07:39	1330/1330	---M--	200	added ('OK')	image/png	etag:%222e7233020670d975f6120d86f094e5e2%22	https://static.mineralcdn.net/site/ranticoid/icon/new_2025/icon-32.png	E:/cloning%20website/Muslimah/static.mineralcdn.net/site/ranticoid/icon/new_2025/icon-32.png	(from https://ranti.co.id/)
22:07:40	5235/5235	---M--	200	added ('OK')	image/png	etag:%223ac4d74357af2369222c80b9c185b89f%22	https://static.mineralcdn.net/site/ranticoid/icon/new_2025/icon-96.png	E:/cloning%20website/Muslimah/static.mineralcdn.net/site/ranticoid/icon/new_2025/icon-96.png	(from https://ranti.co.id/)
22:07:40	10608/10608	---M--	200	added ('OK')	image/png	etag:%22f8273685a9f8fab3c6b8b982a9e05906%22	https://static.mineralcdn.net/site/ranticoid/icon/new_2025/icon.png	E:/cloning%20website/Muslimah/static.mineralcdn.net/site/ranticoid/icon/new_2025/icon.png	(from https://ranti.co.id/)
22:07:40	12950/12950	---M--	200	added ('OK')	image/png	etag:%22690c0febb0689debefffc3890b084aed%22	https://static.mineralcdn.net/site/ranticoid/icon/new_2025/icon-192.png	E:/cloning%20website/Muslimah/static.mineralcdn.net/site/ranticoid/icon/new_2025/icon-192.png	(from https://ranti.co.id/)
22:07:41	13406/13406	---M--	200	added ('OK')	image/png	etag:%222e71c50092b00bc0a94407377954d7ac%22	https://static.mineralcdn.net/site/ranticoid/icon/new_2025/icon-194.png	E:/cloning%20website/Muslimah/static.mineralcdn.net/site/ranticoid/icon/new_2025/icon-194.png	(from https://ranti.co.id/)
